Date,Time,AI Output,Weather
2026-01-27,14:30:54,"Chunk 1 from recording_20260127_142126.wav: [(2818, 'Human non-vocal_Human non-vocal', 0.3288179), (1949, 'Dog_Dog', 0.1510843), (421, 'Apteryx mantelli_North Island Brown Kiwi', 0.063307375), (2143, 'Engine_Engine', 0.057301007), (2819, 'Human vocal_Human vocal', 0.03792452)]",
2026-01-27,14:30:54,"Chunk 2 from recording_20260127_142126.wav: [(1949, 'Dog_Dog', 0.20374453), (4110, 'Ortalis columbiana_Colombian Chachalaca', 0.07734706), (4158, 'Otus sunia_Oriental Scops-Owl', 0.04363324), (2143, 'Engine_Engine', 0.04299639), (2819, 'Human vocal_Human vocal', 0.03650881)]",
2026-01-27,14:30:54,"Chunk 3 from recording_20260127_142126.wav: [(2143, 'Engine_Engine', 0.47001517), (4862, 'Power tools_Power tools', 0.21119045), (2325, 'Fireworks_Fireworks', 0.12087719), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.10487384), (2818, 'Human non-vocal_Human non-vocal', 0.02242782)]",
2026-01-27,14:32:32,"Chunk 1 from recording_20260127_142126.wav: [(2818, 'Human non-vocal_Human non-vocal', 0.3288179), (1949, 'Dog_Dog', 0.1510843), (421, 'Apteryx mantelli_North Island Brown Kiwi', 0.063307375), (2143, 'Engine_Engine', 0.057301007), (2819, 'Human vocal_Human vocal', 0.03792452)]",
2026-01-27,14:32:32,"Chunk 2 from recording_20260127_142126.wav: [(1949, 'Dog_Dog', 0.20374453), (4110, 'Ortalis columbiana_Colombian Chachalaca', 0.07734706), (4158, 'Otus sunia_Oriental Scops-Owl', 0.04363324), (2143, 'Engine_Engine', 0.04299639), (2819, 'Human vocal_Human vocal', 0.03650881)]",
2026-01-27,14:32:33,"Chunk 3 from recording_20260127_142126.wav: [(2143, 'Engine_Engine', 0.47001517), (4862, 'Power tools_Power tools', 0.21119045), (2325, 'Fireworks_Fireworks', 0.12087719), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.10487384), (2818, 'Human non-vocal_Human non-vocal', 0.02242782)]",
2026-01-27,14:34:15,"Chunk 1 from recording_20260127_142126.wav: [(2818, 'Human non-vocal_Human non-vocal', 0.3288179), (1949, 'Dog_Dog', 0.1510843), (421, 'Apteryx mantelli_North Island Brown Kiwi', 0.063307375), (2143, 'Engine_Engine', 0.057301007), (2819, 'Human vocal_Human vocal', 0.03792452)]",
2026-01-27,14:34:15,"Chunk 2 from recording_20260127_142126.wav: [(1949, 'Dog_Dog', 0.20374453), (4110, 'Ortalis columbiana_Colombian Chachalaca', 0.07734706), (4158, 'Otus sunia_Oriental Scops-Owl', 0.04363324), (2143, 'Engine_Engine', 0.04299639), (2819, 'Human vocal_Human vocal', 0.03650881)]",
2026-01-27,14:34:16,"Chunk 3 from recording_20260127_142126.wav: [(2143, 'Engine_Engine', 0.47001517), (4862, 'Power tools_Power tools', 0.21119045), (2325, 'Fireworks_Fireworks', 0.12087719), (184, 'Alouatta pigra_Mexican Black Howler Monkey', 0.10487384), (2818, 'Human non-vocal_Human non-vocal', 0.02242782)]",
2026-01-27,14:34:23,"Chunk 1 from recording_20260127_142156.wav: [(5294, 'Rhodinocichla rosea_Rosy Thrush-Tanager', 0.7922891), (4099, 'Oriolus xanthornus_Black-hooded Oriole', 0.5510842), (94, 'Aegithina tiphia_Common Iora', 0.028773239), (4089, 'Oriolus nigripennis_Black-winged Oriole', 0.026991192), (4087, 'Oriolus larvatus_African Black-headed Oriole', 0.01558228)]",
